Rank,Time,Athlete,Year,Event,Gender,Time Seconds
1569,11.01,Annegret Richter,1976,100m,Female,11.01
2058,11.04,Ingeborg Helten,1976,100m,Female,11.04
2242,11.05,Annegret Richter,1976,100m,Female,11.05
2419,11.06,Annegret Richter,1976,100m,Female,11.06
2906,11.08,Brenda Morehead,1976,100m,Female,11.08
2906,11.08,Annegret Richter,1976,100m,Female,11.08
391,10.88,Marlies Göhr,1977,100m,Female,10.88
1897,11.03,Annegret Richter,1977,100m,Female,11.03
1897,11.03,Monika Hamann,1977,100m,Female,11.03
2657,11.07,Marlies Göhr,1977,100m,Female,11.07
771,10.94,Marlies Göhr,1978,100m,Female,10.94
2242,11.05,Marlies Göhr,1978,100m,Female,11.05
3150,11.09,Marlies Göhr,1978,100m,Female,11.09
1054,10.97,Marlies Göhr,1979,100m,Female,10.97
1054,10.97,Evelyn Ashford,1979,100m,Female,10.97
1431,11.00,Evelyn Ashford,1979,100m,Female,11.0
1431,11.00,Marlies Göhr GDR 21.03.58,1979,100m,Female,11.0
1431,11.00,Marlies Göhr GDR 21.03.58,1979,100m,Female,11.0
1727,11.02,Evelyn Ashford,1979,100m,Female,11.02
1897,11.03,Marlies Göhr,1979,100m,Female,11.03
2242,11.05,Marlies Göhr,1979,100m,Female,11.05
2242,11.05,Evelyn Ashford USA,1979,100m,Female,11.05
2419,11.06,Evelyn Ashford,1979,100m,Female,11.06
2657,11.07,Ashford,1979,100m,Female,11.07
2657,11.07,Evelyn Ashford USA,1979,100m,Female,11.07
3150,11.09,Evelyn Ashford USA,1979,100m,Female,11.09
3150,11.09,Marlies Göhr,1979,100m,Female,11.09
691,10.93,Marlies Göhr,1980,100m,Female,10.93
1157,10.98,Marlies Göhr,1980,100m,Female,10.98
1275,10.99,Marita Koch,1980,100m,Female,10.99
1431,11.00,Marlies Göhr,1980,100m,Female,11.0
1727,11.02,Romy Müller,1980,100m,Female,11.02
2419,11.06,Romy Müller,1980,100m,Female,11.06
2419,11.06,Lyudmila Kondratyeva,1980,100m,Female,11.06
2419,11.06,Lyudmila Kondratyeva,1980,100m,Female,11.06
2657,11.07,Marlies Göhr,1980,100m,Female,11.07
2657,11.07,Marlies Göhr,1980,100m,Female,11.07
2906,11.08,Ingrid Auerswald,1980,100m,Female,11.08
3150,11.09,Romy Müller,1980,100m,Female,11.09
484,10.90,Evelyn Ashford USA,1981,100m,Female,10.9
1275,10.99,Evelyn Ashford,1981,100m,Female,10.99
1275,10.99,Evelyn Ashford USA,1981,100m,Female,10.99
1431,11.00,Evelyn Ashford,1981,100m,Female,11.0
1727,11.02,Evelyn Ashford,1981,100m,Female,11.02
1727,11.02,Evelyn Ashford,1981,100m,Female,11.02
2419,11.06,Evelyn Ashford,1981,100m,Female,11.06
2657,11.07,Merlene Ottey,1981,100m,Female,11.07
2657,11.07,Evelyn Ashford,1981,100m,Female,11.07
2657,11.07,Evelyn Ashford,1981,100m,Female,11.07
3150,11.09,Jarmila Kratochvílová,1981,100m,Female,11.09
3150,11.09,Marlies Göhr,1981,100m,Female,11.09
391,10.88,Marlies Göhr,1982,100m,Female,10.88
540,10.91,Marlies Göhr,1982,100m,Female,10.91
691,10.93,Evelyn Ashford,1982,100m,Female,10.93
859,10.95,Bärbel Wöckel,1982,100m,Female,10.95
941,10.96,Evelyn Ashford,1982,100m,Female,10.96
1054,10.97,Evelyn Ashford USA,1982,100m,Female,10.97
1054,10.97,Marlies Göhr,1982,100m,Female,10.97
1275,10.99,Bärbel Wöckel,1982,100m,Female,10.99
1431,11.00,Bärbel Wöckel,1982,100m,Female,11.0
1569,11.01,Marita Koch,1982,100m,Female,11.01
1569,11.01,Marlies Göhr,1982,100m,Female,11.01
1897,11.03,Marlies Göhr,1982,100m,Female,11.03
1897,11.03,Merlene Ottey,1982,100m,Female,11.03
2058,11.04,Evelyn Ashford,1982,100m,Female,11.04
2419,11.06,Merlene Ottey,1982,100m,Female,11.06
2419,11.06,Evelyn Ashford,1982,100m,Female,11.06
2906,11.08,Evelyn Ashford,1982,100m,Female,11.08
2906,11.08,Marlies Göhr,1982,100m,Female,11.08
2906,11.08,Angela Bailey,1982,100m,Female,11.08
127,10.79,Evelyn Ashford USA,1983,100m,Female,10.79
155,10.81,Marlies Göhr,1983,100m,Female,10.81
205,10.83,Marita Koch,1983,100m,Female,10.83
484,10.90,Marlies Göhr,1983,100m,Female,10.9
540,10.91,Marlies Göhr,1983,100m,Female,10.91
771,10.94,Diane Williams USA,1983,100m,Female,10.94
1054,10.97,Marlies Göhr,1983,100m,Female,10.97
1275,10.99,Marita Koch,1983,100m,Female,10.99
1275,10.99,Evelyn Ashford,1983,100m,Female,10.99
1431,11.00,Diane Williams,1983,100m,Female,11.0
1727,11.02,Marita Koch,1983,100m,Female,11.02
1897,11.03,Marlies Göhr,1983,100m,Female,11.03
1897,11.03,Silke Möller,1983,100m,Female,11.03
1897,11.03,Diane Williams,1983,100m,Female,11.03
2058,11.04,Marita Koch,1983,100m,Female,11.04
2058,11.04,Evelyn Ashford,1983,100m,Female,11.04
2242,11.05,Marlies Göhr,1983,100m,Female,11.05
2419,11.06,Diane Williams,1983,100m,Female,11.06
2419,11.06,Florence Griffith-Joyner,1983,100m,Female,11.06
2657,11.07,Merlene Ottey,1983,100m,Female,11.07
2657,11.07,Anelia Nuneva,1983,100m,Female,11.07
2657,11.07,Marlies Göhr,1983,100m,Female,11.07
2906,11.08,Alice Brown USA,1983,100m,Female,11.08
2906,11.08,Silke Möller,1983,100m,Female,11.08
2906,11.08,Marita Koch,1983,100m,Female,11.08
3150,11.09,Marlies Göhr,1983,100m,Female,11.09
3150,11.09,Nadezhda Georgieva,1983,100m,Female,11.09
3150,11.09,Merlene Ottey,1983,100m,Female,11.09
80,10.76,Evelyn Ashford,1984,100m,Female,10.76
241,10.84,Marlies Göhr,1984,100m,Female,10.84
313,10.86,Marlies Göhr,1984,100m,Female,10.86
344,10.87,Marlies Göhr,1984,100m,Female,10.87
434,10.89,Marlies Göhr,1984,100m,Female,10.89
540,10.91,Marlies Göhr,1984,100m,Female,10.91
610,10.92,Evelyn Ashford,1984,100m,Female,10.92
691,10.93,Evelyn Ashford,1984,100m,Female,10.93
771,10.94,Evelyn Ashford,1984,100m,Female,10.94
859,10.95,Marlies Göhr,1984,100m,Female,10.95
941,10.96,Marlies Göhr,1984,100m,Female,10.96
1054,10.97,Evelyn Ashford USA,1984,100m,Female,10.97
1054,10.97,Marlies Göhr,1984,100m,Female,10.97
1275,10.99,Marlies Göhr,1984,100m,Female,10.99
1275,10.99,Florence Griffith-Joyner,1984,100m,Female,10.99
1569,11.01,Merlene Ottey,1984,100m,Female,11.01
1727,11.02,Lyudmila Kondratyeva,1984,100m,Female,11.02
1727,11.02,Florence Griffith-Joyner,1984,100m,Female,11.02
1897,11.03,Evelyn Ashford USA,1984,100m,Female,11.03
2058,11.04,Bärbel Wöckel,1984,100m,Female,11.04
2058,11.04,Diane Williams,1984,100m,Female,11.04
2058,11.04,Ingrid Auerswald,1984,100m,Female,11.04
2419,11.06,Evelyn Ashford USA,1984,100m,Female,11.06
2419,11.06,Lyudmila Kondratyeva,1984,100m,Female,11.06
2657,11.07,Göhr,1984,100m,Female,11.07
2906,11.08,Diane Williams,1984,100m,Female,11.08
2906,11.08,Valerie Brisco,1984,100m,Female,11.08
3150,11.09,Lyudmila Kondratyeva,1984,100m,Female,11.09
3150,11.09,Lyudmila Kondratyeva,1984,100m,Female,11.09
313,10.86,Marlies Göhr,1985,100m,Female,10.86
610,10.92,Merlene Ottey,1985,100m,Female,10.92
610,10.92,Marlies Göhr,1985,100m,Female,10.92
691,10.93,Merlene Ottey JAM,1985,100m,Female,10.93
771,10.94,Merlene Ottey,1985,100m,Female,10.94
771,10.94,Merlene Ottey,1985,100m,Female,10.94
771,10.94,Marlies Göhr,1985,100m,Female,10.94
859,10.95,Marlies Göhr,1985,100m,Female,10.95
1054,10.97,Marita Koch,1985,100m,Female,10.97
1157,10.98,Merlene Ottey,1985,100m,Female,10.98
1157,10.98,Marina Zhirova,1985,100m,Female,10.98
1275,10.99,Marlies Göhr,1985,100m,Female,10.99
1275,10.99,Silke Möller,1985,100m,Female,10.99
1275,10.99,Silke Möller,1985,100m,Female,10.99
1431,11.00,Florence Griffith-Joyner,1985,100m,Female,11.0
1569,11.01,Marlies Göhr,1985,100m,Female,11.01
1569,11.01,Valerie Brisco,1985,100m,Female,11.01
1727,11.02,Valerie Brisco,1985,100m,Female,11.02
1727,11.02,Alice Brown,1985,100m,Female,11.02
2058,11.04,Alice Brown,1985,100m,Female,11.04
2419,11.06,Silke Möller,1985,100m,Female,11.06
2419,11.06,Alice Brown,1985,100m,Female,11.06
2657,11.07,Alice Brown USA,1985,100m,Female,11.07
2657,11.07,Marina Zhirova,1985,100m,Female,11.07
2657,11.07,Merlene Ottey,1985,100m,Female,11.07
2657,11.07,Marina Zhirova,1985,100m,Female,11.07
2657,11.07,Florence Griffith-Joyner,1985,100m,Female,11.07
2657,11.07,Merlene Ottey,1985,100m,Female,11.07
3150,11.09,Merlene Ottey,1985,100m,Female,11.09
3150,11.09,Jeanette Bolden,1985,100m,Female,11.09
3150,11.09,Marlies Göhr,1985,100m,Female,11.09
3150,11.09,Merlene Ottey,1985,100m,Female,11.09
391,10.88,Evelyn Ashford,1986,100m,Female,10.88
540,10.91,Evelyn Ashford,1986,100m,Female,10.91
540,10.91,Heike Drechsler,1986,100m,Female,10.91
540,10.91,Marlies Göhr,1986,100m,Female,10.91
691,10.93,Ewa Kasprzyk,1986,100m,Female,10.93
691,10.93,Evelyn Ashford,1986,100m,Female,10.93
771,10.94,Heike Drechsler,1986,100m,Female,10.94
859,10.95,Evelyn Ashford,1986,100m,Female,10.95
941,10.96,Silke Möller,1986,100m,Female,10.96
941,10.96,Heike Drechsler,1986,100m,Female,10.96
1054,10.97,Heike Drechsler,1986,100m,Female,10.97
1157,10.98,Marlies Göhr,1986,100m,Female,10.98
1275,10.99,Valerie Brisco,1986,100m,Female,10.99
1569,11.01,Marlies Göhr,1986,100m,Female,11.01
1569,11.01,Marlies Göhr,1986,100m,Female,11.01
1727,11.02,Heike Drechsler,1986,100m,Female,11.02
1727,11.02,Silke Möller,1986,100m,Female,11.02
1727,11.02,Marlies Göhr,1986,100m,Female,11.02
2058,11.04,Anelia Nuneva,1986,100m,Female,11.04
2242,11.05,Evelyn Ashford,1986,100m,Female,11.05
2242,11.05,Silke Möller,1986,100m,Female,11.05
2419,11.06,Alice Brown,1986,100m,Female,11.06
2419,11.06,Merlene Ottey,1986,100m,Female,11.06
2419,11.06,Heike Drechsler,1986,100m,Female,11.06
2419,11.06,Marlies Göhr,1986,100m,Female,11.06
2657,11.07,Merlene Ottey,1986,100m,Female,11.07
2906,11.08,Silke Möller,1986,100m,Female,11.08
2906,11.08,Jeanette Bolden,1986,100m,Female,11.08
2906,11.08,Anelia Nuneva,1986,100m,Female,11.08
2906,11.08,Nelli Cooman,1986,100m,Female,11.08
2906,11.08,Evelyn Ashford,1986,100m,Female,11.08
3150,11.09,Silke Möller,1986,100m,Female,11.09
3150,11.09,Irina Slyusar,1986,100m,Female,11.09
3150,11.09,Evelyn Ashford,1986,100m,Female,11.09
3150,11.09,Evelyn Ashford,1986,100m,Female,11.09
3150,11.09,Silke Möller,1986,100m,Female,11.09
313,10.86,Anelia Nuneva,1987,100m,Female,10.86
313,10.86,Silke Möller,1987,100m,Female,10.86
344,10.87,Merlene Ottey,1987,100m,Female,10.87
484,10.90,Anelia Nuneva,1987,100m,Female,10.9
484,10.90,Anelia Nuneva,1987,100m,Female,10.9
484,10.90,Silke Möller,1987,100m,Female,10.9
540,10.91,Anelia Nuneva BUL,1987,100m,Female,10.91
610,10.92,Anelia Nuneva,1987,100m,Female,10.92
610,10.92,Merlene Ottey,1987,100m,Female,10.92
691,10.93,Marlies Göhr,1987,100m,Female,10.93
691,10.93,Anelia Nuneva,1987,100m,Female,10.93
691,10.93,Merlene Ottey,1987,100m,Female,10.93
859,10.95,Marlies Göhr,1987,100m,Female,10.95
859,10.95,Heike Drechsler,1987,100m,Female,10.95
941,10.96,Florence Griffith-Joyner,1987,100m,Female,10.96
1054,10.97,Merlene Ottey,1987,100m,Female,10.97
1157,10.98,Anelia Nuneva,1987,100m,Female,10.98
1157,10.98,Angela Bailey,1987,100m,Female,10.98
1157,10.98,Merlene Ottey,1987,100m,Female,10.98
1157,10.98,Gail Devers,1987,100m,Female,10.98
1275,10.99,Heike Drechsler,1987,100m,Female,10.99
1275,10.99,Merlene Ottey,1987,100m,Female,10.99
1275,10.99,Silke Möller,1987,100m,Female,10.99
1275,10.99,Merlene Ottey,1987,100m,Female,10.99
1431,11.00,Heike Drechsler,1987,100m,Female,11.0
1569,11.01,Alice Brown USA,1987,100m,Female,11.01
1569,11.01,Alice Brown USA,1987,100m,Female,11.01
1569,11.01,Anelia Nuneva,1987,100m,Female,11.01
1569,11.01,Pam Marshall,1987,100m,Female,11.01
1897,11.03,Silke Möller,1987,100m,Female,11.03
2058,11.04,Gail Devers,1987,100m,Female,11.04
2058,11.04,Merlene Ottey,1987,100m,Female,11.04
2242,11.05,Angela Bailey,1987,100m,Female,11.05
2419,11.06,Anelia Nuneva,1987,100m,Female,11.06
2419,11.06,Gail Devers,1987,100m,Female,11.06
2419,11.06,Pam Marshall,1987,100m,Female,11.06
2657,11.07,Merlene Ottey,1987,100m,Female,11.07
2657,11.07,Marlies Göhr,1987,100m,Female,11.07
2657,11.07,Juliet Cuthbert,1987,100m,Female,11.07
2657,11.07,Natalya Voronova,1987,100m,Female,11.07
2657,11.07,Diane Williams,1987,100m,Female,11.07
2657,11.07,Angela Bailey,1987,100m,Female,11.07
2906,11.08,Marina Molokova,1987,100m,Female,11.08
2906,11.08,Silke Möller,1987,100m,Female,11.08
2906,11.08,Pam Marshall USA,1987,100m,Female,11.08
2906,11.08,Gail Devers USA,1987,100m,Female,11.08
2906,11.08,Anelia Nuneva,1987,100m,Female,11.08
2906,11.08,Angela Bailey,1987,100m,Female,11.08
2906,11.08,Angela Bailey,1987,100m,Female,11.08
2906,11.08,Heike Drechsler,1987,100m,Female,11.08
3150,11.09,Nadezhda Georgieva,1987,100m,Female,11.09
3150,11.09,Nadezhda Georgieva,1987,100m,Female,11.09
3150,11.09,Sheila Echols USA,1987,100m,Female,11.09
3150,11.09,Gwen Torrence,1987,100m,Female,11.09
3150,11.09,Sheila Echols,1987,100m,Female,11.09
3150,11.09,Gail Devers,1987,100m,Female,11.09
3150,11.09,Silke Möller,1987,100m,Female,11.09
3150,11.09,Kerstin Behrendt,1987,100m,Female,11.09
3150,11.09,Sheila Echols,1987,100m,Female,11.09
3150,11.09,Alice Brown,1987,100m,Female,11.09
3150,11.09,Anelia Nuneva,1987,100m,Female,11.09
3150,11.09,Merlene Ottey,1987,100m,Female,11.09
3,10.61,Florence Griffith-Joyner,1988,100m,Female,10.61
6,10.62,Florence Griffith-Joyner,1988,100m,Female,10.62
24,10.70,Florence Griffith-Joyner,1988,100m,Female,10.7
155,10.81,Evelyn Ashford,1988,100m,Female,10.81
277,10.85,Evelyn Ashford,1988,100m,Female,10.85
277,10.85,Anelia Nuneva,1988,100m,Female,10.85
344,10.87,Anelia Nuneva,1988,100m,Female,10.87
391,10.88,Evelyn Ashford,1988,100m,Female,10.88
391,10.88,Florence Griffith-Joyner,1988,100m,Female,10.88
434,10.89,Florence Griffith-Joyner USA,1988,100m,Female,10.89
434,10.89,Marlies Göhr,1988,100m,Female,10.89
434,10.89,Katrin Krabbe,1988,100m,Female,10.89
540,10.91,Heike Drechsler,1988,100m,Female,10.91
540,10.91,Gwen Torrence,1988,100m,Female,10.91
540,10.91,Florence Griffith-Joyner,1988,100m,Female,10.91
610,10.92,Anelia Nuneva,1988,100m,Female,10.92
610,10.92,Heike Drechsler,1988,100m,Female,10.92
771,10.94,Evelyn Ashford,1988,100m,Female,10.94
771,10.94,Marlies Göhr,1988,100m,Female,10.94
941,10.96,Anelia Nuneva,1988,100m,Female,10.96
941,10.96,Heike Drechsler,1988,100m,Female,10.96
941,10.96,Heike Drechsler,1988,100m,Female,10.96
941,10.96,Anelia Nuneva,1988,100m,Female,10.96
1157,10.98,Natalya Voronova,1988,100m,Female,10.98
